list_name,name,label::English,label::Arabic
floods_effects,no_healthcare_access,Restricted access to healthcare facilities,????? ?????? ??? ????? ??????? ??????
floods_effects,sewer_affected,Sewer services negatively affected,????? ????? ????? ????? ?????
floods_effects,other,Other,????
shelter_effects,none,No effects,?? ???? ?????
shelter_effects,shelter_leaking,Water leaking into the shelter,???? ?????? ??? ??????
shelter_effects,furniture_damage,"Damage of furniture (sofas, bed, cabinets, etc.)",??? ?????? (????? ? ?????? ? ??????? ? ???)
shelter_effects,shelter_items_damage,"Damage to shelter items (doors, windows, floor, ceiling, etc.)",??????? ???? ???? ????? ?????? (??????? ? ??????? ? ??????? ? ????? ? ???.)
shelter_effects,shelter_surroundings_damage,"Damage to shelter surroundings (boundary walls, garden, entrance, external furniture)",??????? ???? ???? ????? ?????? (??????? ???????? ? ??????? ? ?????? ? ?????? ???????)
shelter_effects,complete_destruction,Complete destruction of shelter,??????? ?????? ??????
shelter_effects,prefer_not_to_answer,Prefer not to answer,???? ??? ???????
shelter_effects,other,Other,????
floods_mitigation,nothing,No mitigation measures,?? ???? ?????? ???????
floods_mitigation,shelter_rehabilitation,Simple shelter rehabilitation (strengthening/ isolating the celling and walls),????? ????? ????? ?????? (????? / ??? ??????? ????????)
floods_mitigation,shelter_relocation,Leave the shelter or move to other location.,???? ?????? ?? ????? ??? ???? ???.
floods_mitigation,walls_tunnels,Walls or tunnels around the shelters to protect it from water leaking and flow.,????? ?? ????? ??? ??????? ???????? ?? ???? ?????? ???????.
floods_mitigation,other,Other,????
solid_disposal,municipality_waste_system,Collected by municipality waste system,??? ????? ?? ???? ???? ???????? ???????
solid_disposal,burned_on_premises,Burned on premises,??? ??????? ?? ???? ?????
solid_disposal,burned_covered_premises,Burried and covered on premises,??? ????? ???????? ?? ???? ?????
solid_disposal,openly_dumped_premises,Openly dumped on premises,??? ??????? ?? ?????? ?? ???? ????? ???? ?????
solid_disposal,dumping_location,Dumping solid waste in official dumping location,??? ???????? ?????? ?? ??? ?????? ???? ????????
solid_disposal,dumped_in_area,Dumped in the area,????? ?? ???????
solid_disposal,other,Other,????
shelter_type,house,Solid / finished house,???? ????? ??????
shelter_type,apartment,Solid / finished apartment,??? ?????? ??????
shelter_type,unfinished_abandoned_building,Unfinished / non-enclosed building,???? ??? ????? ??????
shelter_type,collective_shelter,Collective shelter,?????? ???????
shelter_type,tent,Tent,????
shelter_type,makeshift_shelter,Makeshift shelter,???? ????
shelter_type,none,None (sleeping In open),?? ??? (????? ?? ??????)
shelter_type,other,Other,????
shelter_type,do_not_know,Don't know,?? ????
occupancy_status,ownership,Ownership,?????
occupancy_status,rented,Rented,???????
occupancy_status,hosted_without_rent ,"Hosted without rent (by family, friends, institution)",????? ???? ????? (?? ??? ??????? ?????????? ?? ?????)
occupancy_status,squatting,No occupancy agreement / squatting,?? ???? ??????? ????? 
occupancy_status,other,Other (specify),???? (???? ???????)
occupancy_status,don_t_know,Don´t know,?? ????
occupancy_status,prefer_not_to_answer,Prefer not to answer,???? ??? ???????
eviction,lack_funds,Lack of funds to pay rental costs,??? ??????? ???? ?????? ???????
eviction,no_longer_hosted,Host family no longer able to host our family,?? ??? ??????? ????????? ????? ??? ??????? ???????
eviction,unaccepted_by_community,Local community does not accept our family living in the area,??????? ?????? ?? ???? ???????? ????? ?? ???????
eviction,authorities_request,Authorities requested our household to leave,???? ?????? ?? ?????? ????????
eviction,owner_request,Request to vacate from owner of building/land,??? ??? ??????? ?? ???? ?????? / ?????
eviction,no_agreement,No valid tenancy agreement,?? ???? ??? ????? ???? ???????
eviction,inadequate,Inadequate housing / shelter condition,???? ????? ?? ?????? ??? ??????
eviction,occupied,Housing occupied by other groups,??? ????? ?????? ?? ??? ??????? ????
eviction,confiscation,Risk of property being confiscated,??? ?????? ?????????
eviction,dispute,Ownership of property is disputed,????? ????????? ?????? ?????
eviction,other,Other,????
shelter_issues,none,None,?? ????
shelter_issues,roof_opening_cracks,Opening or cracks in roof,??? ?? ?????? ?? ?????
shelter_issues,roof_partially_collapsed,Roof partially collapsed,?????? ????? ?????
shelter_issues,broken_windows,Broken or cracked windows,??????? ?????? ?? ??????
shelter_issues,doors_broken,Exterior doors broken / unable to shut properly,??????? ???????? ?????? ?? ??? ????? ??????? ???? ????
shelter_issues,doors_windows_missing,Exterior doors or windows missing,??????? ?? ??????? ???????? ??????
shelter_issues,walls_small_cracks,Large cracks / openings in most walls,???? / ????? ????? ?? ???? ???????
shelter_issues,walls_large_cracks,Some cracks in some walls,??? ?????? ?? ??? ???????
shelter_issues,collapsed_walls,Some walls fully collapsed,?????? ??? ??????? ???????
shelter_issues,damaged_floors,Damaged floors,???????? ?????
shelter_issues,structural_damage,Severe structural damage and unsafe for living,????? ?????? ????? ???? ???? ???????
shelter_issues,total_structural_collapse,Total structural collapse,?????? ????? ????
shelter_issues,foundation_shifted,Foundation damaged or shifted,???????? ????? ?? ??? ?????
shelter_issues,system_damage,"Gas, water or sewage system damaged",??? ???? ????? ?? ????? ?? ????? ?????
shelter_issues,electricity_damage,Electricity supply line damaged and not functional,?? ????? ???????? ???? ??? ????
shelter_issues,other,Other,????
shelter_issues,dnk,Don´t know,?? ????
shelter_issues,prefer_not_to_answer,Prefer not to answer,???? ??? ???????
threats,menacing_behavior,"Menacing behavior (e.g. threats, pointing of weaponry, firing weaponry)",?????? ?????? (??? ????????? ? ????? ??????? ? ????? ????? ?? ???????)
threats,verbal_abuse,Verbal abuse or harm,??????? ?? ????? ?????? 
threats,sexual_harassment,Sexual harassment or abuse,?????? ?? ??????? ???????
threats,obstructed_shelter,Obstructed travel to or from shelter,????? ?????? ?? ???? ??????
threats,obstructed_vicinity,Obstructed access to areas in your vicinity (e.g. farm or pasture land),????? ?????? ??? ??????? ???????? ?? (??? ????? ??????? ?? ???????)
threats,physical_violence,"Physical violence (e.g. stone throwing, beating, shooting)",????? ?????? (??? ??? ??????? ?????? ?????? ?????)
threats,non_shelter_items_damage,Damage (inc. vandalism) or destruction of personal property (non-shelter related) (e.g. vehicles),????? (??? ?? ??? ???????) ?? ????? ????????? ??????? (??? ???????? ???????) (??? ????????)
threats,shelter_damage,Damage (inc. vandalism) or destruction of shelters,??????? (??? ?? ??? ???????) ?? ????? ???????
threats,economic_damage,"Damage or destruction of livelihood/economic resources (e.g. trees, herds, barns, cisterns/water networks)",????? ?? ????? ??? ????? ?? ??????? ?????????? (??? ??????? ? ??????? ? ??????? ? ???????? ? ????? ??????)
threats,theft,Theft of personal property,???? ????????? ???????
threats,occupation_of_shelter,Occupation of all or part of shelter,?????? ??? ?? ???? ?? ??????
threats,forced_eviction,Forced eviction,??????? ??????
threats,detention,Detention,??????
threats,disrupting_activities,Disrupting sleep or daily life/activities,????? ????? ?? ?????? ?? ??????? ???????
threats,other,Other (please specify),???? (???? ???????)
threats_cope,none,None,?? ????
threats_cope,withheld_children_school,Withheld children from school,??? ??????? ?? ???????
threats_cope,withheld_children_travel,Withheld children from travel,??? ??????? ?? ??????
threats_cope,withheld_adult_travel,Withheld adult family members from travel,??? ????? ?????? ???????? ?? ??????
threats_cope,change_livelihoods,"Changed livelihood behaviors (e.g. not grazed flocks, planted, harvested in dangerous areas)",???? ??????? ??? ?????/ ????? ????? (??? ???? ?????? ? ??? ?????? ??????? ???? ????? ?? ??????? ??????? ??? ????? ???????? ?? ??? ???? ???????? ?? ??? ???????)
threats_cope,security_measures,"Added security or protection measures (e.g. alarms, lights, locks, community watch)",??????? ?????? ?? ??????? ???????? (??? ?????????? ???????? ???????? ?????? ??????? ??????)
threats_cope,moved_property,Moved property to safer location,?? ??? ??????? ??? ???? ???? ??????
threats_cope,sent_children_away,Sent children to live elsewhere on at least one occasion,????? ??????? ????? ?? ???? ??? ??? ???? ????? ??? ?????
threats_cope,sent_adults_away,Sent adult family members to live elsewhere on at least one occasion,???? ????? ??????? ???????? ????? ?? ???? ???  ??? ???? ????? ??? ?????
threats_cope,hh_moved,Entire household has moved from a certain area on at least one occasion,?????? ?????? ??????? ?? ????? ?????  ??? ???? ????? ??? ?????
threats_cope,contact_municipality,Contacted local municipal actors to complain/request help,?? ??????? ??????? ??????? ??????? ?????? ???? / ???? ????????
threats_cope,contact_security,Contacted security forces (e.g. Israeli or Palestinian) complain/request help,???? ????? ???? ?? ??????? ??? (??? ???????????? ?? ???????????) ????? / ???? ????????
threats_cope,other,Other (please specify),???? (???? ???????)
drop_out,lack_of_schools,Lack of schools in the community leading to drop out,??? ??????? ?? ??????? ???? ??? ??? ???????
drop_out,commuting_risks,Protection risks while commuting to school.,????? ??????? ????? ?????? ??? ???????
drop_out,demolished_school,The school was demolished or under threat of demolition,?? ??? ??????? ?? ?? ??????? ??????
drop_out,child_labour,Child labour,????? ???????
drop_out,child_marriage,Child marriage,???? ???????
drop_out,disability,Disability,???????
drop_out,poverty,Poverty,?????
drop_out,covid_19,COVID-19 related school closures,????? ??????? ???? ??????
drop_out,lack_interest_in_child_edu,Lack of interest of children in education.,??? ?????? ??????? ????????
drop_out,other,Other  (specify),???? (???? ???????)
disabled_edu_challenges,no_teachers,Teachers are not able or available to teach children,???????? ??? ?????? ?? ??? ??????? ?????? ???????
disabled_edu_challenges,classrons_not_adapted,Classrooms are not adapted for child,?????? ???????? ??? ?????? ???????
disabled_edu_challenges,infrastructure_not_adapted,"Infrastructure (non-classroom, WASH) is not adapted for child",?????? ??????? (???? ?????? ???????? ? ?????? ?????? ????? ????????) ??? ?????? ???????
disabled_edu_challenges,curriculum_not_adapted,"Curriculum, teaching methods and instructional materials (e.g. textbooks) are not adapted for child",??????? ???? ??????? ??????? ????????? (??? ????? ????????) ??? ?????? ???????
disabled_edu_challenges,no_separation_of_diasabled,Child is placed in class with students who do not have similar disabilities,??? ??? ????? ?? ????? ?? ?????? ????? ?? ?????? ?? ?????? ??????
disabled_edu_challenges,no_support_to_cwd,No capacity to support CWD's home learning,?? ???? ???? ???? ?????? ??????? ????? ?????????? ??????
disabled_edu_challenges,bullying,Bullying,??????
disabled_edu_challenges,no_access_to_distance_learning,Problems with accessing distance learning,????? ?? ?????? ??? ?????? ?? ???
disabled_edu_challenges,social_stigma,Social stigma,???? ????? ??????????
disabled_edu_challenges,unsafe_commuting_to_schl,Afraid for child's safety when traveling to school,???? ??? ????? ????? ??? ?????? ?? ? ??? ???????
disabled_edu_challenges,unsafe_at_school,Afraid for child's safety while at school,???? ??? ????? ????? ????? ????? ?? ???????
disabled_edu_challenges,transportation_constraints,Transportation or travel-related constraints,?????? ???????? ?????? ?? ??????
disabled_edu_challenges,none,None,?? ????
disabled_edu_challenges,other,Other: specify,???? (???? ???????)
ynp,yes,Yes,???
ynp,no,No,??
ynp,prefer_not_to_answer,Prefer not to answer,???? ??? ???????
pss_services,no,No,??
pss_services,trained_cousellors,Trained counsellors available,????? ???????? ??????
pss_services,trained_teachers,Teachers trained in PSS available,????? ?????? ?????? ?? ????? ?????? ??????????
pss_services,external_pss,Information on external PSS services,????? ??????? ?? ??????? ???????? ?????? ?? ????? ?????? ?????????? 
pss_services,other,Other ,????
pss_services,not_sure,Not sure,??? ??????
pss_services,prefer_not_to_answer,Prefer not to answer,???? ??? ???????
edu_barriers,school_stopped,School stopped functioning and is now closed,????? ??????? ?? ????? ??? ???? ?????
edu_barriers,commuting_not_safe_girls,Going to or attending school is not safe for girls,?????? ??? ??????? ?? ??????? ????  ??? ????? ???????
edu_barriers,commuting_not_safe_boys,Going to or attending school is not safe for boys,?????? ??? ??????? ?? ??????? ????  ??? ????? ???????
edu_barriers,lack_fees,We can’t afford to pay for the school related expenses ,?? ?????? ????  ?? ????? ????? ???????
edu_barriers,unable_to_enroll,We are not able to register or enrol our children in the school,?? ?????? ????? ??????? ?? ???????
edu_barriers,lack_of_schools,Lack of available schools in the area,??? ???? ????? ?? ???????
edu_barriers,cannot_physically_go,Our children can’t physically go to the school ,?? ???? ???????? ?????? ??? ??????? ??????
edu_barriers,overcrowed_schools,School and classes are overcrowded,??????? ??????? ????? ???
edu_barriers,lack_of_staff,Lack of staff to run the school,??? ???? ?????? ?????? ???????
edu_barriers,poor_infrastructure,The school infrastructure is poor,?????? ??????? ??????? ????
edu_barriers,curriculum_issues,The curriculum and teaching are not adapted for our children ,??????? ? ??????? ????????? ??? ?????? ????????
edu_barriers,child_working,Children busy working or supporting the household,??????? ??????? ?????? ?? ????? ??????
edu_barriers,parental_refusal,Parental refusal to send children to school ,??? ???????? ????? ??????? ??? ???????
edu_barriers,lack_interest,Lack of interest of children in education.,??? ?????? ??????? ????????.
edu_barriers,none,None,?? ????
edu_barriers,other,Other,????
school_safety,very_unsafe,Very unsafe,??? ??? ??????
school_safety,unsafe,Unsafe,??? ???
school_safety,neither_unsafe_safe,Neither safe or unsafe,?? ???? ??????? ???? ?? ??? ???? (????)
school_safety,safe,Safe,???
school_safety,very_safe,Very safe,??? ???
school_safety,not_sure,Not sure,??? ??????
school_safety,prefer_answer,Prefer not to answer,???? ??? ???????
safety_concerns,firing_tear_gas,Firing tear gas on schools and students,????? ????? ?????? ?????? ??? ??????? ???????
safety_concerns,students_detention,Detention of students from school,??? ???? ?? ???????
safety_concerns,checkpoints_delays,Delays on checkpoints,??????? ?? ???? ???????
safety_concerns,school_military_entry,Military entry to school,?????? ??????? ??? ???????
safety_concerns,military_presence,Military presence around schools,?????? ??????? ??? ???????
safety_concerns,demolition_threat,Schools under threat of demolition,????? ????? ??????
safety_concerns,contracting_covid_19,Contracting COVID-19,??????? ?????? ????? 19
safety_concerns,violence_at_school,Violence/harassment at school,????? / ?????? ?? ???????
safety_concerns,violence_cummuting,Violence/harassment travelling to school,????? / ?????? ??? ?????? ?? ? ??? ???????
safety_concerns,sexual_abuse_at_schl,Risk of sexual abuse/violence at school,??? ???????? ?????? / ????? ?? ???????
safety_concerns,sexual_abuse_commuting,Risk of sexual abuse/violence travelling to school,??? ???????? ?????? / ????? ?????? ????? ?????? ?? ? ??? ???????
safety_concerns,crossing_roads,Traffic / crossing roads,???? ?????? / ????? ?????????
safety_concerns,attacks_settlers,Attacks from non-Palestinian communities on the way to/from school,????? ?? ??????? ??? ???????? ?? ?????? ?? ?? ??? ???????
safety_concerns,attacks_school,Attacks on schools,????? ??? ???????
safety_concerns,environmental_hazards,Environmental hazards (e.g. flooding),??????? ??????? (??? ?????????)
safety_concerns,other,Other,????
safety_concerns,not_sure,Not sure,??? ??????
safety_concerns,prefer_not_to_answer,Prefer not to answer,???? ??? ???????
ynndp,yes,Yes,???
ynndp,no_higher_income,"No, the current income is higher than the usual one",?? ? ????? ?????? ???? ?? ????? ???????
ynndp,no_lower_income,"No, the current income is lower than the usual one",?? ? ????? ?????? ??? ?? ????? ???????
ynndp,do_n_t_know,Don't know,?? ????
ynndp,prefer_not_to_answer,Prefer not to answer,???? ??? ???????
income_decrease,reduced_remittances,Reduced remittances,?????? ?????????
income_decrease,reducted_employment,No or reducted employment opportunities,?? ???? ?? ??? ??? ???
income_decrease,job_competition,More competition for jobs,???? ?? ???????? ??? ???????
income_decrease,conflit_displacement,Conflict/Migration or displacement,?????? / ?????? ?? ??????
income_decrease,natural_disaster,Natural disaster,????? ??????
income_decrease,death_illness,Death or illness of family member,???? ?? ??? ??? ????? ??????
income_decrease,decreased_support,"Decreased cash support from others (e.g. relatives, Ministry of Social Development, aid agencies)",?????? ????? ?????? ?? ??????? (??? ???????? ????? ??????? ??????????? ?????? ???????)
income_decrease,other,Other (please specify),???? (???? ???????)
income_decrease,prefer_not_to_answer,Prefer not to answer,???? ??? ???????
reasons_for_debt,basic_household_expenditures,Basic household expenditures,????? ?????? ????????
reasons_for_debt,healthcare,Healthcare,??????? ??????
reasons_for_debt,food,Food,??????
reasons_for_debt,education,Education,???????
reasons_for_debt,clothing_or_NFI,Clothing or NFIs,??????? ?? ?????? ??? ????????
reasons_for_debt,income_generating_activites,Purchasing productive assets for small business or income-generating activities,???? ?????? ????????? ??????? ??????? ?? ??????? ?????? ?????
reasons_for_debt,reconstruction,Building reconstruction/rehabilitation,????? / ????? ???? 
reasons_for_debt,prefer_not_to_answer,Prefer not to answer,?? ????
reasons_for_debt,dont_know,Don't know,???? ??? ???????
reasons_for_debt,other,Other (please specify),???? (???? ???????)
barriers_to_employment,job_competition,"Increased competition for jobs, not enough jobs",????? ???????? ??? ??????? ? ???? ????? ???????
barriers_to_employment,jobs_are_too_far_away,Available jobs are too far away,??????? ??????? ????? ????
barriers_to_employment,low_pay_degrading_jobs,"Only low-skilled, socially degrading, dangerous or low-paying jobs",??? ??????? ???? ????? ?????? ?????? ?? ????? ???????? ?? ????? ?? ?????? ?????
barriers_to_employment,unqualified,Underqualified for available jobs,??? ???? ??????? ???????
