type,name,label::English,label: Arabic,hint::English,hint::Arabic,required,relevant,choice_filter,constraint,constraint_message::English,constraint_message::Arabic,calculation,appearance,repeat_count,default
note,no_consent,END OF SURVEY - THANK YOU FOR YOUR TIME please exit the form and do not submit,????? ?????????- ????? ??? ????. ?????? ????? ???????? ???? ?????,,,,"selected(${consent},'no')",,,,,,,,
begin_group,hh_characteristics,Household characteristics,????? ??????,,,,"selected(${consent},'yes')",,,,,,,,
select_one yes_no,hhh_r,6. Are you the head of household?,6. ?? ??? ?? ???????,"A household is a group of people who regularly share meals, income, and expenditures together. Members must acknowledge the authority of one person as head of household and that person must actually live with the rest of the household members. In polygamous households, each wife is treated as a distinct household when the wives live in different houses, cook separately and take decisions independently.",??????? ????? ?? ?????? ?? ??????? ????? ??????? ??????? ????? ?????? ?????? ???????? ????. ??? ?? ??? ??????? ????? ??? ???? ????? ?? ?????? ???? ?? ???? ??? ????? ?????? ?? ???? ????? ??????. ?? ????? ?????? ??????? ? ????? ?? ???? ??? ???? ???? ?????? ????? ???? ??????? ?? ????? ?????? ? ????? ???? ????? ????? ???????? ???? ?????.,TRUE,,,,,,,,,
select_one yes_no,will_to_response_r,"6.1 If no, are you willing and able to respond to the questions on behalf of the household?",6.1 ??? ??? ?? ????????? ?? ???? ?? ??????? ????? ?? ??????,,,TRUE,"selected(${hhh_r}, 'no')",,.='yes',End survey if the person is not willing respond on behalf or his/her household,?????? ????? ????????? ??? ??? ?????? ?? ???? ??????,,,,
select_one relationship,relationship,6.2 What is your relation to the head of household?,6.2 ?? ?? ?????? ??? ???????,,,TRUE,"selected(${will_to_response_r}, 'yes')",,,,,,,,
integer,age_respondent_r,7. What is your age?,7. ?? ?????,,,TRUE,,,.> 17 and .< 120,Age cannot be below 18 and above 120,?? ???? ?? ???? ????? ??? ?? ??18 ???? ??120 ???,,,,
select_one sex,gender_respondent_r,8. Respondent's sex,8. ????? ?,,,TRUE,,,,,,,,,
select_one sex,sex_head_hh,9. What is the sex of the head of household?,9. ?? ?? ??? ?? ???????,,,TRUE,"selected(${hhh_r}, 'no')",,,,,,,,
select_one governorate,hh_location_wb,10. In what governorate is your household's primary residence?,10. ?? ?? ?????? ??? ???? ??????? ??????? ???????,,,TRUE,"selected(${location}, 'west_bank')",,,,,,,,
select_one municipality,hh_location_gaza,11. In what municipality is your household's primary residence?,11. ??? ????? ???? ??? ??????? ??????? ???????,,,TRUE,"selected(${location}, 'gaza')",,,,,,,,
select_one yes_no,refugee_status,12.Is your household a refugee household?,12- ?? ?? ?????? ?????,,,TRUE,,,,,,,,,
begin_group,household_size,Household Size by group,??? ?????? ??? ????????,,,,,,,,,,field-list,,
note,household_size,"1.12 How many people are there in your household (including yourself), by age and sex?",1.12 ?? ??? ??????? ?? ????? (??? ?? ??? ???)? ??? ????? ???????,Enter 999 in case the respondent does not know,,,,,,,,,,,
integer,hh_size_boys_0_4,1.12.1 Boys 0-4,1.12.1 ???? 0-4,,,TRUE,,,,,,,,,0
integer,hh_size_girls_0_4,1.12.2 Girls 0-4,1.12.2 ???? 0-4,,,TRUE,,,,,,,,,0
integer,hh_size_boys_5_10,1.12.3 Boys 5-10,1.12.3 ???? 5-10,,,TRUE,,,,,,,,,0
integer,hh_size_girls_5_10,1.12.4 Girls 5-10,1.12.4 ???? 5-10,,,TRUE,,,,,,,,,0
integer,hh_size_boys_11_15,1.12.5 Boys 11-15,1.12.5 ???? 11-15,,,TRUE,,,,,,,,,0
integer,hh_size_girls_11_15,1.12.6 Girls 11-15,1.12.6 ???? 11-15,,,TRUE,,,,,,,,,0
integer,hh_size_boys_16_17,1.12.7 Boys 16-17,1.12.7 ???? 16-17,,,TRUE,,,,,,,,,0
integer,hh_size_girls_16_17,1.12.8 Girls 16-17,1.12.8 ???? 16-17,,,TRUE,,,,,,,,,0
integer,hh_size_women_18_29,1.12.9 Women 18-29,1.12.9 ?????? 18 - 29,,,TRUE,,,,,,,,,0
integer,hh_size_men_18_29,1.12.10 Men 18-29,1.12.10 ?????? 18-29,,,TRUE,,,,,,,,,0
integer,hh_size_women_30_64,1.12.11 Women 30-64,1.12.11 ?????? 30-64,,,TRUE,,,,,,,,,0
integer,hh_size_men_30_64,1.12.12 Men 30-64,1.12.12 ?????? 30-64,,,TRUE,,,,,,,,,0
integer,hh_size_women_65,1.12.13 Women 65+,1.12.13 ?????? +65,,,TRUE,,,,,,,,,0
integer,hh_size_men_65,1.12.14 Men 65+,1.12.14 ?????? +65,,,TRUE,,,,,,,,,0
end_group,household_size,,,,,,,,,,,,,,
calculate,tot_female,,,,,,,,,,,sum(${hh_size_girls_0_4})+sum(${hh_size_girls_5_10})+sum(${hh_size_girls_11_15})+sum(${hh_size_girls_16_17})+sum(${hh_size_women_30_64})+sum(${hh_size_women_65})+sum(${hh_size_women_18_29}),,,
calculate,tot_male,,,,,,,,,,,sum(${hh_size_boys_0_4})+sum(${hh_size_boys_5_10})+sum(${hh_size_boys_11_15})+sum(${hh_size_boys_16_17})+sum(${hh_size_men_30_64})+sum(${hh_size_men_65})+sum(${hh_size_men_18_29}),,,
calculate,tot_boys,,,,,,,,,,,sum(${hh_size_boys_0_4})+sum(${hh_size_boys_5_10})+sum(${hh_size_boys_11_15})+sum(${hh_size_boys_16_17}),,,
calculate,tot_girls,,,,,,,,,,,sum(${hh_size_girls_0_4})+sum(${hh_size_girls_5_10})+sum(${hh_size_girls_11_15})+sum(${hh_size_girls_16_17}),,,
calculate,girls_0_5,,,,,,,,,,,sum(${hh_size_girls_0_4}),,,
calculate,boys_0_5,,,,,,,,,,,sum(${hh_size_boys_0_4}),,,
calculate,girls_6_17,,,,,,,,,,,sum(${hh_size_girls_5_10})+sum(${hh_size_girls_11_15})+sum(${hh_size_girls_16_17}),,,
calculate,boys_6_17,,,,,,,,,,,sum(${hh_size_boys_5_10})+sum(${hh_size_boys_11_15})+sum(${hh_size_boys_16_17}),,,
calculate,girls_11_17,,,,,,,,,,,sum(${hh_size_girls_11_15})+sum(${hh_size_girls_16_17}),,,
calculate,boys_11_17,,,,,,,,,,,sum(${hh_size_boys_11_15})+sum(${hh_size_boys_16_17}),,,
calculate,tot_adults,,,,,,,,,,,sum(${hh_size_women_18_29})+sum(${hh_size_men_18_29})+sum(${hh_size_women_30_64})+sum(${hh_size_men_30_64})+sum(${hh_size_women_65})+sum(${hh_size_men_65}),,,
calculate,tot_children,,,,,,,,,,,sum(${hh_size_boys_0_4})+sum(${hh_size_girls_0_4})+sum(${hh_size_boys_5_10})+sum(${hh_size_boys_11_15})+sum(${hh_size_boys_16_17})+sum(${hh_size_girls_5_10})+sum(${hh_size_girls_11_15})+sum(${hh_size_girls_16_17}),,,
calculate,tot_children_school,,,,,,,,,,,sum(${hh_size_boys_5_10})+sum(${hh_size_boys_11_15})+sum(${hh_size_boys_16_17})+sum(${hh_size_girls_5_10})+sum(${hh_size_girls_11_15})+sum(${hh_size_girls_16_17}),,,
calculate,hh_size,,,,,,,,,,,sum(${tot_male})+sum(${tot_female}),,,
note,calc_note,"Total number of household members: ${hh_size}
Total female household members: ${tot_female}
Total male household members: ${tot_male}
Total boys (0 - 18): ${tot_boys}
Total girls (0 - 18): ${tot_girls}","????? ??? ????? ?????? ${hh_size}
 ????? ??? ????? ?????? ?????? ${tot_female}
 ????? ??? ????? ?????? ?????? ${tot_male}
 ????? ??????? (0-18) ${tot_boys}
 ????? ?????? (0-18) ${tot_girls}",,,,,,,,,,,,
select_one yndp,preg_lactating,13. Is any member of your household pregnant or lactating?,13. ?? ??? ????? ????? ???? ?? ?????,,,TRUE,,,,,,,,,
select_one yndp,chronic_illness,"14. Does any member of your household have a chronic illness (e.g. heart disease, hypertension, blood disease, cancer, lung disease, diabetes, renal diseases)?",14. ?? ????? ?? ??? ?? ????? ????? ?? ??? ???? (??? ????? ?????? ?????? ??? ????? ????? ??????????? ????? ?????? ??????? ????? ????? )?,,,TRUE,,,,,,,,,
end_group,hh_characteristics,,,,,,,,,,,,,,
begin_group,displacement,Displacement,??????,,,,"selected(${location}, 'gaza')",,,,,,,,
select_one yndp,permanent_location,15.Was your household living in this location prior to the outbreak of the most recent conflict on the 11th of May 2021?,15.?? ???? ????? ???? ?? ??? ?????? ??? ?????? ??????? ?????? ?? 11 ???? 2021?,,,TRUE,,,,,,,,,
select_one yndp,displacement_status,16.Has your household been displaced from this location since 11th of May 2021?,16.?? ?? ????? ????? ?? ??? ?????? ??? 11 ???? 2021?,,,TRUE,,,,,,,,,
select_one yndp,currently_hosting_displaced,17.Are you currently hosting any displaced individuals,17.?? ?????? ????? ?? ???????,,,TRUE,,,,,,,,,
end_group,,,,,,,,,,,,,,,
begin_group,food_security,Food Security Survey,????? ???????,,,,"selected(${consent},'yes')",,,,,,,,
begin_group,food_consumption,Food Consumption,??????? ??????,,,,,,,,,,field-list,,
note,food_security_note,"18. Over the last 7 days, how many days did your household consume the following food? ",18. ??? ???? ?????? ???? ???????? ?? ????? ??????? ????? ?? ??????? ????????,,,,,,,,,,,,
integer,cereals,"18.1 Cereals, grains, roots and tubers: rice, pasta, bread, potato, ",18.1 ??????  ??????? ????????: ????? ? ?????????? ? ?????? ? ???????? ?,,,TRUE,,,.>=0 and .<=7,Must be between 0 and 7 days,??? ?? ???? ??? 0? 7 ????,,,,
integer,nuts_seed,"18.2 Legumes / nuts : beans, peanuts, lentils, nut, soy, and / or other nuts",18.2 ????????? / ????????: ?????? ????? ????????? ?????? ?????? ??? ??????? ? / ?? ???????? ??????,,,TRUE,,,.>=0 and .<=7,Must be between 0 and 7 days,??? ?? ???? ??? 0 ? 7 ????,,,,
integer,milk_dairy,"18.3 Milk and other dairy products: fresh milk / sour, yogurt, cheese, other dairy products (Exclude margarine / butter or small amounts of milk for tea / coffee)",18.3 ?????? ??????? ??????? ??????: ?????? ?????? ?? ??????? ?????? ?????? ?????? ??????? ?????? (???????? ????????? / ?????? ?? ????? ????? ?? ?????? ????? ?? ??????),,,TRUE,,,.>=0 and .<=7,Must be between 0 and 7 days,??? ?? ???? ??? 0 ? 7 ????,,,,
integer,meat,"18.4 Meat, fish and eggs: goat, beef, chicken, fish, including canned tuna, and / or other seafood, eggs (meat and fish consumed in large quantities and not as a condiment)",18.4 ?????? ???????? ??????: ??????? ??? ?????? ??????? ??????? ??? ?? ??? ?????? ??????? ?? ????? ?? ????????? ??????? ? ????? (?????? ???????? ???? ?????? ?????? ????? ???? ??????),,,TRUE,,,.>=0 and .<=7,Must be between 0 and 7 days,??? ?? ???? ??? 0 ? 7 ????,,,,
integer,vegetables,"18.5 Vegetables and leaves: spinach, onion, tomatoes, carrots, peppers, green beans, lettuce, cabbages, egg plants, etc",18.5 ?????? ??????: ????? ? ??? ? ????? ? ??? ? ???? ? ??????? ????? ? ?? ? ????? ? ??????? ? ???.,,,TRUE,,,.>=0 and .<=7,Must be between 0 and 7 days,??? ?? ???? ??? 0 ? 7 ????,,,,
integer,fruits,"18.6 Fruits: banana, apple, lemon, mango, watermelon, apricot, peach, pineapple, passion, gishta, orange, avocado, wild fruits etc",18.6 ?????: ??? ? ???? ? ????? ? ????? ? ???? ? ???? ? ??? ? ?????? ? ??????? ?????????? ? ???? ? ?????? ? ??????? ? ????? ???? ? ???.,,,TRUE,,,.>=0 and .<=7,Must be between 0 and 7 days,??? ?? ???? ??? 0 ? 7 ????,,,,
integer,oil_fats,"18.7 Oil / fat / butter: vegetable oil, palm oil, margarine, other fats / oil",18.7 ??? / ??? / ????: ??? ????? ? ??? ???? ? ??????? ? ???? / ??? ????,,,TRUE,,,.>=0 and .<=7,Must be between 0 and 7 days,??? ?? ???? ??? 0 ? 7 ????,,,,
integer,sweets,"18.8 Sugar, or sweet: sugar, honey, jam, cakes, candy, cookies, pastries, cakes and other sweet (sugary drinks)",18.8???? ?? ?????: ?????? ?????? ???????? ????? ??????? ?????????? ????????? ????? ?????? ?? ???????? (????????? ???????),,,TRUE,,,.>=0 and .<=7,Must be between 0 and 7 days,??? ?? ???? ??? 0 ? 7 ????,,,,
integer,spices_condiments,"18.9 Condiments / Spices: tea, coffee / cocoa, salt, garlic, spices, yeast / baking powder, lanwin, tomato / sauce, meat or fish as a condiment, condiments including small amount of milk / tea coffee.",18.9 ???????? ????????: ????? ??????? / ??????? ?????? ?????? ???????? ???????? / ???????? ????? / ????? ??????? / ?????? ?????? ?????? ?? ??????? / ??? ?? ??? ???? ????? ?? ?????? ?? ????? ?? ??????.,,,TRUE,,,.>=0 and .<=7,Must be between 0 and 7 days,??? ?? ???? ??? 0 ? 7 ????,,,,
end_group,fcs,,,,,,,,,,,,,,
begin_group,food_insecurity,Food Insecurity,?????? ????? ???????,,,,"selected(${consent},'yes')",,,,,,field-list,,
note,fies_note,"Now I would like to ask you some questions about your food consumption in the last 12 months. During the last 12 MONTHS, was there a time when:",???? ??? ?? ???? ???? ??? ??????? ??? ???????? ?????? ???? ??? 12 ????? ???????. ,,,,,,,,,,,,
select_one yndp,lack_enough_food,"19.1 During the last 12 MONTHS, was there a time when you or others in your household were worried they would not have enough food to eat because of a lack of money or other resources?",19.1 ???? ?????? ??? ????? ???????? ?? ??? ???? ??? ???? ??? ??? ?? ??? ????? ????? ?????? ???? ?? ????? ?? ?????? ?????? ????? ???? ??? ???? ?????? ??????? ?? ??????? ???????,,,TRUE,,,,,,,,,
select_one yndp,lack_health_food,"19.2 Still thinking about the last 12 MONTHS, was there a time when you or others in your household were unable to eat healthy and nutritious food because of a lack of money or other resources?",19.2  ???????? ??? ???12 ???? ???????? ?? ??? ???? ??? ?? ????? ??? ??? ?? ??? ????? ????? ?? ????? ???? ??? ????? ???? ??? ????? ?? ??????? ???????,,,TRUE,,,,,,,,,
select_one yndp,lack_food_variety,19.3 Was there a time when you or others in your household ate only a few kinds of foods because of a lack of money or other resources?,19.3 ?? ?? ??? ??? ???? ??? ??? ?? ?? ??? ?? ????? ??????? ????? ?? ??????? ???? ??? ????? ?? ??????? ???????,,,TRUE,,,,,,,,,
select_one yndp,skipped_meals,19.4 Was there a time when you or others in your household had to skip a meal because there was not enough money or other resources to get food?,19.4?? ?? ???? ??? ?????? ??? ??? ?? ??? ?? ????? ????? ??? ?????? ?? ??? ??????? ???? ??? ???? ?? ???? ?? ????? ?? ??????? ?????? ?????? ??? ???????,,,TRUE,,,,,,,,,
select_one yndp,ate_less,"19.5 Still thinking about the last 12 MONTHS, was there a time when you or others in your household ate less than they thought they should because of a lack of money or other resources?",19.5???????? ??? ???12 ???? ???????? ?? ??? ???? ??? ?????? ??? ??? ?? ????? ????? ??? ??? ???? ??????? ???? ??? ????? ?? ??????? ???????,,,TRUE,,,,,,,,,
select_one yndp,out_of_food,19.6 Was there a time when your household ran out of food because of a lack of money or other resources?,19.6 ?? ??? ???? ??? ??? ??? ???? ????? ???? ??? ????? ?? ??????? ???????,,,TRUE,,,,,,,,,
select_one yndp,hungry_ddnt_eat,19.7 Was there a time when you or others in your household were hungry but did not eat because there was not enough money or other resources for food?,19.7 ?? ??? ???? ??? ???? ??? ??? ?? ????? ????? ?????? ????? ?? ??????  ?? ???? ???? ??? ???? ?? ???? ?? ????? ?? ??????? ?????? ???????,,,TRUE,,,,,,,,,
select_one yndp,day_without_eating,19.8 Was there a time when you or others in your household went without eating for a whole day because of a lack of money or other resources?,19.8 ?? ??? ???? ??? ?????? ??? ??? ?? ??? ?? ????? ?? ?? ?????? ?????? ???? ???? ???? ??? ????? ?? ??????? ???????,,,TRUE,,,,,,,,,
end_group,food_insecurity,,,,,,,,,,,,,,
begin_group,lack_of_food_mitigation,Lack of food mitigation strategies,??? ????????????? ????????? ???? ??????,,,,"selected(${consent},'yes')",,,,,,field-list,,
note,mitigation_note,"20. During the past 30 days, did anyone in your household have to do one of the following things because there was not enough food or money to buy it?",20. ???? ???????? ????? ???????? ?? ???? ?? ??? ?? ????? ?????? ???? ??????? ??????? ???? ??? ???? ???? ?? ??? ???? ???????,,,,,,,,,,,,
select_one ynnn,selling_hh_properties,"20.1 Selling household properties (refrigerator, television, jewelry…)",20.1 ??? ??????? ?????? (????? ? ??????? ? ??????? ...),,,TRUE,,,,,,,,,
select_one ynnn,buying_food_on_credit,"20.2 Buying food on credit or through borrowed money from relatives, friends or financial institutions",20.2 ???? ?????? ?????? ?? ?? ???? ???????? ?? ??????? ????????? ?? ?? ?????? ?????,,,TRUE,,,,,,,,,
select_one ynnn,selling_means_of_tranport,"20.3 Selling means of transport (car, motorbike)",20.3 ??? ????? ????? (????? ? ????? ?????),,,TRUE,,,,,,,,,
select_one ynnn,children_dropout,20.4 Children dropout from school,20.4???? ??????? ?? ???????,,,TRUE,,,,,,,,,
select_one ynnn,reducing_expenditure,"20.5 Reducing expenditure on non-food items (health, education)",20.5 ????? ??????? ??? ?????? ??? ???????? (????? ????????),,,TRUE,,,,,,,,,
select_one ynnn,changing_residency,20.6 Sent household members to eat elsewhere,20.6 ????? ????? ?????? ?????? ?????? ??  ?? ???? ???,,,TRUE,,,,,,,,,
select_one ynnn,risky_behaviour,20.7 Accepting that adults engage in risky behavior,20.7 ???? ???????? ????????? ?? ????? ????? ????????,,,TRUE,,,,,,,,,
select_one ynnn,child_labour,20.8 Children under 18 work to provide resources,20.8 ??? ??????? ??? ?? 18 ??? ?????? ???????,,,TRUE,,,,,,,,,
select_one ynnn,migration_of_hh,20.9 Whole family are migrating,20.9 ???? ??????? ??????? ,,,TRUE,,,,,,,,,
select_one ynnn,forced_marriages,20.10 Children or adult forcefully marriaged,20.10 ????? ??????? ?? ??????  ????,,,TRUE,,,,,,,,,
select_one ynnn,selling_animals,20.11 Sold more animals (non-productive) than usual,20.11 ??? ?????? ?? ????????? (??? ???????) ???? ?? ???????,,,TRUE,,,,,,,,,
select_one ynnn,move_school,20.12 Move children to less expensive school,20.12 ??? ??????? ??? ????? ??? ?????,,,,,,,,,,,,
end_group,lack_of_food_mitigation,,,,,,,,,,,,,,
begin_group,lack_of_food,Lack of Food,,,,,"selected(${location}, 'gaza')",,,,,,,,
select_one yn,no_food,"21. In the past 30 days, was there ever no food to eat of any kind in your house because of lack of resources to get food?",21. ?? 30 ????? ??????? ? ?? ?? ??? ???? ???? ?? ?? ??? ????? ?? ????? ???? ??? ??????? ??? ?????? ?? ?????? ??? ???????,,,TRUE,,,,,,,,,
select_one frequency,no_food_freq,21.1How often did this happen in the past 30 days?,21.1 ?? ??? ??? ??? ?? 30 ????? ????????,,,TRUE,"selected(${no_food}, 'yes')",,,,,,,,
end_group,lack_of_food,,,,,,,,,,,,,,
end_group,food_security,,,,,,,,,,,,,,
begin_group,health_group,Health Survey,?????,,,,"selected(${consent},'yes')",,,,,,,,
note,health_start,The next couple of questions will pertain to the HEALTH situation of your household members as well as their access to healthcare services,????? ??????? ??????? ?????? ????? ?????? ????? ???????? ??? ?????? ??? ????? ??????? ??????,,,,,,,,,,,,
integer,distance_hospital,"22. How long (in minutes) does it take anyone from your household to get to the nearest, functional health facility by your normal mode of transportation?",22. ?? ?? ????? (????????) ?????? ???? ?? ??? ?? ????? ??? ???? ???? ??? (????) ?????? ????? ????? ???????? ?,,,TRUE,,,,,,,,,
select_one yndp,health_accessed,"23.  During the last 3 months, did anyone from your household have a health problem and needed to access health care?",23. ???? ?????? ??????? ???????? ?? ???? ?? ??? ?? ????? ????? ?? ????? ???? ??????  ?? ???? ??? ??????? ???????,,,TRUE,,,,,,,,,
select_multiple treatment,treatment_required,23.1 What type of treatment/check-up did the person require?,23.1 ?? ?? ??? ?????? / ???????? ???? ?? ???? ?? ?? ??? ?? ????? ?????? [?? ???? ????????] ,,,TRUE,"selected(${health_accessed},'yes')",,"not(selected(.,‘don_t_know’) and count-selected(.) >1) and not(selected(., ‘prefer_not_to_answer’) and count-selected(.) >1)","Cannot select ""Don't Know"" or ""Prefer Not To Answer"" with any other option","?? ???? ????? ""?? ????"" ?? ""???? ??? ???????"" ?? ?? ???? ???",,,,
text,treatment_required_other,"23.2 If other, please specify",23.2 ??? ????? ???? ???????,,,TRUE,"selected(${treatment_required},'other')",,,,,,,,
select_one yndp,difficulty_accessing_treatment,23.3 Did this household member experience any difficulties when trying to access health services?,23.3 ?? ???? ?? ??? ?? ????? ????? ?????? ??? ??????? ?????? ??? ??????? ???????,,,TRUE,"selected(${health_accessed},'yes')",,,,,,,,
select_multiple health_barriers,health_barriers,24.1  What barriers if any did your household experience to prevent you from accessing the health care you needed? [choose up to 3 most important],24.1 [??? ??? ???? ?? ???????? ???? ?? ??? ???????] ?? ?? ??????? (?? ????) ???? ??????? ????? ?????? ??? ??????? ?????? ???? ???????? [???? ??? 3 ?????] [?? ???? ????????],,,TRUE,"selected(${difficulty_accessing_treatment} ,'yes')",,"count-selected(.)<=3. and not(selected(.,‘don_t_know’) and count-selected(.) >1) and not(selected(., ‘prefer_not_to_answer’) and count-selected(.) >1)","Can only select 3 options and Cannot select ""Don't Know"" or ""Prefer Not To Answer"" with any other option","???? 3 ??? ???? 
?? ???? ????? ""?? ????"" ?? ""???? ??? ???????"" ?? ?? ???? ???",,,,
text,health_barriers_other,"24.2 If other, please specify",24.2 ???  ????? ???? ???????,,,TRUE,"selected(${health_barriers},'other')",,,,,,,,
select_multiple health_barriers,obstructive_barriers,24.3 Which of these barriers have become more obstructive as a result of the recent escalation?,  ?? ?? ??? ??????? ??????? ???? ???? ??? ????? ??????? ??????? [?? ???? ????????] 24.3,,,TRUE,"selected(${difficulty_accessing_treatment} ,'yes') and selected(${location}, 'gaza')",,"count-selected(.)<=3. and not(selected(.,‘don_t_know’) and count-selected(.) >1) and not(selected(., ‘prefer_not_to_answer’) and count-selected(.) >1)","Can only select 3 options and Cannot select ""Don't Know"" or ""Prefer Not To Answer"" with any other option","???? 3 ??? ???? 
?? ???? ????? ""?? ????"" ?? ""???? ??? ???????"" ?? ?? ???? ???",,,,
text,obstructive_barriers_other,"24.4 If other, please specify",24.4 ???  ????? ???? ???????,,,TRUE,"selected(${obstructive_barriers},'other')",,,,,,,,
select_one ynd,vaccine,25. Are all members of your household willing to be vaccinated against COVID-19?,25. ?? ???? ????? ????? ??? ??????? ???? ???? ?? ?????? (COVID-19)?,,,TRUE,,,,,,,,,
integer,vaccine_no_num,25.1 How many household members are not willing to be vaccinated?,25.1 ?? ??? ????? ?????? ????? ?? ??????/ ???? ??? ???? ????? ???,,,,"selected(${vaccine},'no')",,,,,,,,
select_multiple vaccine_why_not,vaccine_why_not,"25.2 If no, why do members of your household not intend to be vaccinated?",25.2 ????? ?? ???? ??? ????? ????? ??? ???????? [?? ???? ????????],,,TRUE,"selected(${vaccine},'no')",,"not(selected(.,‘don_t_know’) and count-selected(.) >1) and not(selected(., ‘decline_to_answer’) and count-selected(.) >1)","Cannot select ""Don't Know"" or ""decline_to_answer"" with any other option","?? ???? ????? ""?? ????"" ?? ""???? ??? ???????"" ?? ?? ???? ???",,,,
text,vaccine_why_not_other,"25.3 If other type, please specify",25.3 ??? ??? ??? ???? ???? ???????,,,TRUE,"selected(${vaccine_why_not},'other')",,,,,,,,
begin_group,disabilities,Disabilities,????????,,,,,,,,,,,,
select_multiple presence_disability,presence_disability,26. Is there anyone in your household having lots of difficulty doing any of the following activities or who cannot do any of the following activities at all? (please select all that apply),26. ?? ???? ?? ??? ?? ????? ????? ????? ????? ?? ?????? ??? ?? ??????? ??????? ?? ?? ????? ?????? ??? ?? ??????? ??????? ??? ???????? (???? ?????? ?? ?? ?????),,,TRUE,,,"not(selected(.,""none"") and count-selected(.) >1)","Cannot select ""None"" with any other options","?? ???? ????? ""?? ???"" ?? ?? ???? ???",,,,
integer,num_disability,27. How many members of your household have a lot of difficulties or cannot do any of these activities?,27. ?? ??? ????? ????? ????? ????? ?????? ?? ???????? ?? ?? ???????? ?????? ??? ?? ??? ????????,,,TRUE,"not(selected(${presence_disability},'none'))",,.=0 or.<=${hh_size},,,,,,
begin_group,disabilities_loop,Disabilities loop,,,,,${num_disability} > 0,,,,,,,,
begin_repeat,member,Add a new group for each family member with a lot of difficulties doing an activity or who cannot do any activity at all,??? ?????? ????? ??? ??? ?? ????? ?????? ????? ?????? ?? ???????? ?? ?????? ????? ?? ?? ?? ?? ?????? ?????? ??? ???? ??? ???????,,,TRUE,,,,,,,,${num_disability},
select_one sex,difficulty_sex,28. What is the sex of [this person]?,28. ?? ?? ??? [??? ?????]?,,,TRUE,,,,,,,,,
integer,difficulty_age,29. What is the age of [this person]?,"29. ?? ?? ??? [??? ?????]?
",,,TRUE,,,,,,,,,
select_one wgss,difficulty_seeing,"30.1 Does [this person] have difficulty seeing, even if wearing glasses?","30.1. ?? ??? [??? ?????] ????? ?? ?????? ??? ?? ??? ????? ??????
",,,TRUE,"selected(${presence_disability},'seeing') and ${difficulty_age} > 4",,,,,,,,
