result_column_name,conditions,type,question.name,issue_label,old_value,new_column_name,action_label
action,"df$primary_livelihood == ""cash_assistance"" & df$aid_type != ""cash""",normal,primary_livelihood,"if HH reports receiving cash assistance in past 30 days, but does not identify cash assistance, NGO/charity assistance, or social service",df$primary_livelihood,df$cash_assistance_check,Flagged
action,df$gender_respondent_r == df$gender_respondent_r2,normal,gender_respondent_r,if gender of respondent is equal to the gender of respondent in gender sensitivity question,df$gender_respondent_r,df$gender_check,Flagged
action,"df$camp == ""yes"" &  (df$hh_location_gaza != ""shati_camp""| df$hh_location_gaza !=""bureij_camp"" | df$hh_location_gaza != ""deir_balah_camp"" | df$hh_location_gaza !=""jabalya_camp"" | df$hh_location_gaza != ""khan_yunis_camp""| df$hh_location_gaza != ""maghazi_camp""| df$hh_location_gaza != ""nuseirat_camp"" | df$hh_location_gaza != ""rafah_camp"")",normal,camp,"if selected HH lives in Refugee camp, but municipality selected not a camp",df$camp,df$camp_check,Flagged
action,"df$treatment_required == ""covid_19_treatment""  &  treatment_required != ""covid_19_testing""",normal,treatment_required,"if the respondents reports going for COVID treatment, but not for COVID testing",df$treatment_required,df$covid_check,Flagged
action,"df$location == ""gaza"" & (df$obstructive_barriers %nin% df$health_barriers)",normal,health_barriers,if the barriers that have become more obstructive were not identified in the original list of barriers,df$health_barriers,df$health_barrier_check,Flagged
action,as.numeric(df$hh_size) > 20,normal,hh_size,if HH Size > 20,df$hh_size,df$hh_size_check,Flagged
action,as.numeric(distance_hospital) > 150,normal,distance_hospital ,if distance_hospital > 150,df$distance_hospital ,df$distance_check,Flagged
action,df$remote_learning == df$dropout,normal,remote_learning ,if remote_learning == dropout,df$remote_learning ,df$remote_learning_check,Flagged
action,df$tot_income == 0,normal,tot_income,if tot_income == 0,df$tot_income,df$total_income_check,Flagged
action,df$tot_expenses == 0,normal,tot_expenses,if tot_expenses == 0,df$tot_expenses,df$total_expense_check,Flagged
action,df$food_exp == 0,normal,food_exp ,if food_exp == 0,df$food_exp ,df$food_exp_check,Flagged
action,df$water_exp == 0,normal,water_exp ,if water_exp == 0,df$water_exp ,df$water_exp_check,Flagged
action,"df$tot_cwd == 0 & df$drop_out_reason == ""Disability""",normal,tot_cwd,"if tot_cwd == 0 and drop_out_reason == ""Disability""",df$tot_cwd,df$disability_check,Flagged
